priority,build_month,url_slug,page_type,search_intent,primary_keyword,secondary_questions,page_goal,cta,internal_links,proof_needed,video_needed,schema_types,funnel_connection
P3,3,/guides/using-cpf-second-property,guide,informational,using CPF for second property,Can I use CPF for a second property? | What are the CPF limits? | Cash vs CPF for second property?,Answer CPF-usage query for second purchase [VERIFY],Book a Position Map session,/guides/cpf-vs-cash-property;/guides/second-property-singapore;/position-map-session,CPF usage rules [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU - CPF-usage demand into planning
P3,3,/guides/cpf-vs-cash-property,guide,comparison,CPF vs cash property Singapore,Should I pay with CPF or cash? | Which preserves more options? | How does accrued interest change the answer?,Compare CPF vs cash funding for the climb [VERIFY],Book a Position Map session,/guides/using-cpf-second-property;/tools/cpf-accrued-interest-estimator;/position-map-session,Funding comparison [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - funding comparison into session
P2,3,/guides/single-property-climber-singapore,guide,informational,single property Singapore climb,Can a single climb the property ladder? | What is the best path for singles? | Under one name strategy?,"Capture single-buyer demand, define their ladder path",Book a Position Map session,/guides/single-buying-private-property;/case-studies/single-name-climb;/second-property-ladder;/position-map-session,Single-buyer proof [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - single segment into method and case
P3,3,/guides/dink-couple-property-plan,guide,informational,DINK couple property Singapore,How should a DINK couple plan property? | Hold two or trade up as a couple? | Two-name advantage for couples?,"Capture DINK segment demand, map to the ladder",Book a Position Map session,/case-studies/dink-couple-climb;/compare/hold-two-vs-trade-up;/second-property-ladder;/position-map-session,DINK case [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - DINK segment into method and case
P3,3,/guides/buying-private-property-under-one-name,guide,informational,buying private property under one name,Why buy under one name? | How does it preserve ABSD headroom? | Name-count advantage explained?,Explain the Name-Count Advantage for future sequencing,Book a Position Map session,/guides/single-buying-private-property;/guides/decoupling-property-singapore;/second-property-ladder;/position-map-session,Name-count logic [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - one-name demand into Name-Count Advantage
P3,3,/compare/condo-vs-landed-trade-up,comparison,comparison,condo vs landed Singapore,Should I trade up to landed or condo? | Which appreciates better? | Which suits my runway?,Compare higher-rung vehicles for advanced climbers,Book a Position Map session,/compare/hold-two-vs-trade-up;/guides/trade-up-condo-singapore;/position-map-session,Vehicle comparison [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - advanced-rung comparison into Trade-Up Path
P3,3,/compare/rcr-vs-ocr-second-property,comparison,comparison,RCR vs OCR condo Singapore,Is RCR or OCR better for a second property? | Which has better exit demand? | Which appreciates more?,Compare regions through exit-demand lens,Book a Position Map session,/exit-before-entry;/guides/how-to-choose-exit-ready-property;/second-property-ladder;/position-map-session,Regional exit data [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU - region comparison reframed to exit demand
P3,3,/compare/rent-out-hdb-vs-sell,comparison,comparison,rent out HDB vs sell,Should I rent out or sell my HDB? | Can I keep HDB and buy a condo? | Which builds more NAV?,Compare keep-and-rent vs sell for post-MOP owners,Book a Position Map session,/guides/should-i-sell-my-hdb-after-mop;/second-property-ladder;/position-map-session,Rent-vs-sell math [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - post-MOP comparison into decision guide
P3,3,/compare/two-property-vs-one-bigger,comparison,comparison,two properties vs one bigger property,Is it better to own two or one bigger? | Which is lower risk? | Which grows NAV faster?,"Reframe door-count as NAV, tie to One Stronger Asset theme",Book a Position Map session,/case-studies/one-stronger-asset-before-two;/compare/hold-two-vs-trade-up;/second-property-ladder;/position-map-session,NAV-not-door-count reframe [VERIFY],N,Article;FAQPage;BreadcrumbList,MOFU - reframes door-count debate to NAV climb
P3,3,/mistakes/selling-hdb-too-early,mistakes,informational,selling HDB too early mistake,Should I wait before selling my HDB? | Cost of selling too early? | SSD and timing traps?,"Capture timing-mistake intent, tie to Policy Clock",Book a Position Map session,/guides/should-i-sell-my-hdb-after-mop;/guides/ssd-seller-stamp-duty;/position-map-session,Timing-mistake evidence [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - timing-mistake intent into MOP guide
P3,3,/mistakes/over-leveraging-second-property,mistakes,informational,over leveraging second property,How much leverage is too much? | How to avoid over-leveraging? | What is a safe cash buffer?,"Capture over-leverage intent, tie to Safe Motion",Book a Position Map session,/second-property-ladder;/guides/how-much-can-i-borrow-second-property;/position-map-session,Buffer/leverage evidence [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - leverage-fear intent into Safe Motion frame
P3,3,/mistakes/exit-later-buying,mistakes,informational,buying without an exit plan,Why is buying without an exit plan risky? | What is exit-later buying? | How to buy exit-first instead?,"Capture the anti-pattern, drive to Exit Before Entry",Book a Position Map session,/exit-before-entry;/case-studies/exit-before-entry-in-action;/position-map-session,Exit-later cost example [VERIFY],Y - Exit-Ready,Article;FAQPage;BreadcrumbList,TOFU - anti-pattern into Exit Before Entry
P3,3,/guides/when-to-sell-hdb-after-mop,guide,informational,when to sell HDB after MOP,When is the best time to sell after MOP? | Should I wait for appreciation? | How does timing affect my next move?,"Answer the timing query, tie to Policy Clock and sequence",Book a Position Map session,/guides/should-i-sell-my-hdb-after-mop;/tools/mop-timeline-checker;/position-map-session,Timing case [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - timing demand into MOP tool and session
P3,3,/guides/how-to-plan-second-property-purchase,guide,informational,how to plan second property purchase,How do I plan a second property purchase? | What steps should I follow? | What numbers do I need first?,Map planning intent to the 5 steps,Book a Position Map session,/guides/five-steps-second-property-ladder;/second-property-ladder;/position-map-session,Method IP,Y - Category explainer,Article;HowTo;FAQPage;BreadcrumbList,TOFU - planning intent into 5-step method
P3,3,/guides/property-cooling-measures-2026,guide,informational,property cooling measures Singapore 2026,What are the latest cooling measures? | How do they affect second-property buyers? | When did they change?,Date-stamped cooling-measures reference [VERIFY],Book a Position Map session,/guides/absd-rates-singapore-2026;/guides/ssd-seller-stamp-duty;/second-property-ladder;/position-map-session,Cooling-measures summary [VERIFY + date-stamp 2026],N,Article;FAQPage;BreadcrumbList,"TOFU regulatory - authoritative reference, update cadence"
P3,3,/guides/is-now-a-good-time-second-property,guide,informational,is now a good time to buy second property,Is now a good time to buy a second property? | Should I wait for prices to drop? | How does timing fit my sequence?,"Answer the timing-anxiety query, reframe to sequence readiness",Book a Position Map session,/case-studies/missed-window-warning;/second-property-ladder;/exit-before-entry;/position-map-session,Missed-window proof [VERIFY],Y - Missed-Launch Loop,Article;FAQPage;BreadcrumbList,"TOFU - timing anxiety into readiness, not market-timing"
P3,3,/guides/how-to-choose-exit-ready-property,guide,informational,how to choose exit ready property,What makes a property exit-ready? | How to check the exit buyer pool? | What to research before buying?,Operationalise Exit Before Entry for selection,Book a Position Map session,/exit-before-entry;/compare/new-launch-vs-resale;/compare/rcr-vs-ocr-second-property;/position-map-session,Selection Research method IP,Y - Exit-Ready,Article;HowTo;FAQPage;BreadcrumbList,"MOFU - Selection Research depth, drives to session"
P3,3,/tools/net-asset-value-tracker,tool,commercial,net asset value tracker property,How do I track my property NAV? | What is my current net asset value? | How to measure my climb?,"Capture NAV-tracking demand, reinforce NAV-not-door-count",Book a Position Map session,/second-property-ladder;/compare/two-property-vs-one-bigger;/position-map-session,NAV logic (method IP),N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU - NAV demand reinforces category reframe
P3,3,/tools/second-property-budget-planner,tool,commercial,second property budget planner,How much second property can I afford? | What is my safe budget? | How does TDSR limit me?,"Capture budget-planning demand, feed Position Map",Book a Position Map session,/guides/how-much-can-i-borrow-second-property;/guides/tdsr-explained;/position-map-session,Budget logic [VERIFY],N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU - budget demand into numbers-first session
P3,3,/case-studies/hold-two-path,case_study,informational,hold two properties case study,How did they hold two properties safely? | What was the financing sequence? | What was the outcome?,Prove the Hold-Two Path,Book a Position Map session,/compare/hold-two-vs-trade-up;/guides/decoupling-property-singapore;/position-map-session;/case-studies,Hold-two story [VERIFY],N,Article;BreadcrumbList,MOFU proof - Hold-Two Path
P3,3,/case-studies/trade-up-path,case_study,informational,trade up property case study Singapore,How did they trade up successfully? | What did they sell and buy? | What was the NAV movement?,Prove the Trade-Up Path,Book a Position Map session,/compare/hold-two-vs-trade-up;/guides/trade-up-condo-singapore;/position-map-session;/case-studies,Trade-up story [VERIFY],N,Article;BreadcrumbList,MOFU proof - Trade-Up Path
P3,3,/case-studies/dink-couple-climb,case_study,informational,DINK couple property case study,How did a DINK couple climb? | Two-name advantage in action? | What was their sequence?,Prove the DINK-couple path,Book a Position Map session,/guides/dink-couple-property-plan;/second-property-ladder;/position-map-session;/case-studies,DINK story [VERIFY],N,Article;BreadcrumbList,MOFU proof - DINK segment
P3,3,/case-studies/new-launch-disqualification,case_study,informational,new launch disqualification case study,How do you disqualify a new launch? | Why disqualify 90% of launches? | What passed the exit test?,Prove the disqualification discipline (Legacy Launch bridge),Book a Position Map session,/mistakes/new-launch-buyers;/compare/new-launch-vs-resale;/exit-before-entry;/position-map-session,90% disqualification rate [VERIFY],Y - Herd Instinct,Article;BreadcrumbList,MOFU proof - bridges Legacy Launch campaign into SPL
P3,3,/guides/order-before-offer-sequencing,guide,informational,property move sequence Singapore,Why does the order matter more than the offer? | What is a Move Sequence? | How do you sequence property moves?,Establish Order Before Offer doctrine (the step we own),Book a Position Map session,/second-property-ladder;/guides/five-steps-second-property-ladder;/exit-before-entry;/position-map-session,Move Sequence method IP,Y - Math Doesnt Lie,Article;FAQPage;BreadcrumbList,"MOFU - the signature Step 3 doctrine, drives to session"
